date,open,high,low,close
2024-05-15 21:00:00+00:00,65897.2,66152.06,65750.54,65824.59
2024-05-15 22:00:00+00:00,65824.94,66243.45,65814.72,66084.69
2024-05-15 23:00:00+00:00,66084.14,66393.88,66040.73,66177.5
2024-05-16 00:00:00+00:00,66177.5,66671.44,65973.89,66103.67
2024-05-16 01:00:00+00:00,66103.66,66225.66,65873.48,66007.42
2024-05-16 02:00:00+00:00,66006.43,66129.98,65806.95,65930.43
2024-05-16 03:00:00+00:00,65930.21,66095.43,65830.62,66000.02
2024-05-16 04:00:00+00:00,66000.03,66023.9,65824.42,65835.23
2024-05-16 05:00:00+00:00,65835.21,65920.24,65774.01,65802.44
2024-05-16 06:00:00+00:00,65802.44,66018.48,65682.59,65980.46
2024-05-16 07:00:00+00:00,65980.1,66292.74,65958.78,66168.79
2024-05-16 08:00:00+00:00,66168.81,66450.34,66118.87,66316.1
2024-05-16 09:00:00+00:00,66316.43,66388.18,66122.77,66382.98
2024-05-16 10:00:00+00:00,66382.58,66383.79,66140.88,66188.54
2024-05-16 11:00:00+00:00,66188.26,66583.86,66042.96,66532.87
2024-05-16 12:00:00+00:00,66532.57,66729.92,65947.64,66035.46
2024-05-16 13:00:00+00:00,66035.79,66377.05,65806.25,66350.04
2024-05-16 14:00:00+00:00,66350.04,66408.75,65625.14,65625.98
2024-05-16 15:00:00+00:00,65625.99,65912.2,65406.12,65840.46
2024-05-16 16:00:00+00:00,65840.28,65846.27,65130.32,65173.48
2024-05-16 17:00:00+00:00,65170.96,65408.07,64636.68,65018.1
2024-05-16 18:00:00+00:00,65018.1,65221.86,64854.35,65142.51
2024-05-16 19:00:00+00:00,65142.37,65593.33,65110.43,65202.57
2024-05-16 20:00:00+00:00,65199.71,65310.21,65077.91,65288.44
2024-05-16 21:00:00+00:00,65288.44,65521.02,65262.13,65482.68
2024-05-16 22:00:00+00:00,65482.68,65499.37,65164.6,65435.42
2024-05-16 23:00:00+00:00,65435.4,65440.51,65208.29,65257.47
2024-05-17 00:00:00+00:00,65257.48,65504.71,65245.04,65503.63
2024-05-17 01:00:00+00:00,65503.44,65506.5,65115.94,65347.63
2024-05-17 02:00:00+00:00,65347.4,65453.72,65193.14,65391.84
2024-05-17 03:00:00+00:00,65391.85,65878.49,65357.5,65593.24
2024-05-17 04:00:00+00:00,65593.28,65637.81,65373.88,65455.94
2024-05-17 05:00:00+00:00,65455.91,65706.35,65443.6,65705.29
2024-05-17 06:00:00+00:00,65705.29,66155.18,65587.57,65962.19
2024-05-17 07:00:00+00:00,65962.56,66498.17,65960.1,66391.25
2024-05-17 08:00:00+00:00,66391.25,66437.05,66079.07,66151.62
2024-05-17 09:00:00+00:00,66152.05,66390.74,66080.66,66348.94
2024-05-17 10:00:00+00:00,66348.94,66523.78,66190.83,66505.14
2024-05-17 11:00:00+00:00,66504.42,66561.72,66205.4,66221.58
2024-05-17 12:00:00+00:00,66221.58,66550.08,66126.66,66385.41
2024-05-17 13:00:00+00:00,66385.24,66455.52,65840.09,65952.26
2024-05-17 14:00:00+00:00,65952.67,66827.73,65931.3,66816.01
2024-05-17 15:00:00+00:00,66816.01,67428.97,66568.53,67197.17
2024-05-17 16:00:00+00:00,67197.33,67298.92,66918.5,66936.27
2024-05-17 17:00:00+00:00,66936.27,66994.76,66678.38,66709.4
2024-05-17 18:00:00+00:00,66709.4,66849.47,66236.69,66823.22
2024-05-17 19:00:00+00:00,66823.22,67062.16,66659.96,67047.16
2024-05-17 20:00:00+00:00,67047.65,67051.17,66775.84,66895.9
2024-05-17 21:00:00+00:00,66895.91,66923.99,66754.4,66836.27
2024-05-17 22:00:00+00:00,66834.03,66834.03,66690.45,66777.69
2024-05-17 23:00:00+00:00,66777.94,67069.97,66706.2,67028.04
2024-05-18 00:00:00+00:00,67028.04,67098.05,66762.11,66913.5
2024-05-18 01:00:00+00:00,66913.5,67028.9,66789.79,67000.22
2024-05-18 02:00:00+00:00,66999.93,67074.6,66826.91,66930.33
2024-05-18 03:00:00+00:00,66930.33,67026.7,66877.87,66967.12
2024-05-18 04:00:00+00:00,66967.16,67024.62,66822.99,66906.87
2024-05-18 05:00:00+00:00,66906.56,66910.22,66832.14,66876.47
2024-05-18 06:00:00+00:00,66876.31,66971.29,66755.8,66939.77
2024-05-18 07:00:00+00:00,66940.1,67247.71,66850.38,66909.67
2024-05-18 08:00:00+00:00,66909.88,67103.59,66862.41,67045.07
2024-05-18 09:00:00+00:00,67045.07,67162.74,67024.15,67146.75
2024-05-18 10:00:00+00:00,67146.75,67313.26,67059.98,67241.08
2024-05-18 11:00:00+00:00,67241.08,67386.32,67136.9,67212.0
2024-05-18 12:00:00+00:00,67212.0,67250.97,66923.84,66952.84
2024-05-18 13:00:00+00:00,66952.8,67092.17,66829.72,66894.72
2024-05-18 14:00:00+00:00,66893.96,67075.68,66637.7,66810.66
2024-05-18 15:00:00+00:00,66810.6,66914.9,66627.23,66838.01
2024-05-18 16:00:00+00:00,66837.12,67014.34,66740.71,66909.05
2024-05-18 17:00:00+00:00,66909.26,66989.73,66773.62,66883.76
2024-05-18 18:00:00+00:00,66883.76,66930.51,66800.55,66816.06
2024-05-18 19:00:00+00:00,66816.06,66964.17,66791.48,66932.54
2024-05-18 20:00:00+00:00,66932.53,67037.48,66900.11,66986.45
2024-05-18 21:00:00+00:00,66986.45,67006.57,66826.46,66920.46
2024-05-18 22:00:00+00:00,66920.23,67020.73,66846.81,66949.43
2024-05-18 23:00:00+00:00,66949.53,67061.1,66933.7,66935.63
2024-05-19 00:00:00+00:00,66935.63,66995.97,66850.93,66918.74
2024-05-19 01:00:00+00:00,66918.74,66984.26,66896.45,66932.74
2024-05-19 02:00:00+00:00,66932.74,67231.18,66932.47,67216.56
2024-05-19 03:00:00+00:00,67216.56,67297.63,67102.87,67176.42
2024-05-19 04:00:00+00:00,67176.67,67190.01,67004.43,67162.39
2024-05-19 05:00:00+00:00,67162.49,67180.01,67100.64,67109.55
2024-05-19 06:00:00+00:00,67109.55,67161.61,66943.65,67035.3
2024-05-19 07:00:00+00:00,67035.3,67338.64,66992.52,67334.91
2024-05-19 08:00:00+00:00,67334.89,67346.06,67111.96,67171.62
2024-05-19 09:00:00+00:00,67171.62,67197.68,67006.19,67190.16
2024-05-19 10:00:00+00:00,67190.15,67694.37,67131.05,67281.42
2024-05-19 11:00:00+00:00,67281.42,67395.32,66979.41,67340.68
2024-05-19 12:00:00+00:00,67340.68,67340.84,66804.94,66850.94
2024-05-19 13:00:00+00:00,66850.94,67178.18,66705.51,67058.69
2024-05-19 14:00:00+00:00,67057.85,67155.17,66866.52,66940.79
2024-05-19 15:00:00+00:00,66940.78,66988.77,66753.82,66901.22
2024-05-19 16:00:00+00:00,66901.28,67001.37,66573.91,66673.15
2024-05-19 17:00:00+00:00,66673.15,66838.75,66564.45,66730.15
2024-05-19 18:00:00+00:00,66729.98,66768.26,66546.03,66597.98
2024-05-19 19:00:00+00:00,66597.98,66653.32,65902.37,66049.19
2024-05-19 20:00:00+00:00,66049.35,66309.65,66022.15,66174.37
2024-05-19 21:00:00+00:00,66174.36,66367.29,66008.25,66291.29
2024-05-19 22:00:00+00:00,66291.29,66462.34,66262.42,66374.24
2024-05-19 23:00:00+00:00,66374.24,66374.24,66224.43,66282.99
2024-05-20 00:00:00+00:00,66283.86,66485.37,66147.29,66452.75
2024-05-20 01:00:00+00:00,66452.75,66571.87,66059.46,66513.89
2024-05-20 02:00:00+00:00,66513.89,66758.04,66498.37,66668.23
2024-05-20 03:00:00+00:00,66668.23,66759.56,66559.61,66668.41
2024-05-20 04:00:00+00:00,66668.41,67136.74,66621.2,67127.38
2024-05-20 05:00:00+00:00,67127.38,67283.67,67049.62,67128.14
2024-05-20 06:00:00+00:00,67128.14,67150.78,66293.52,66407.36
2024-05-20 07:00:00+00:00,66408.2,66890.03,66352.4,66820.86
2024-05-20 08:00:00+00:00,66820.86,67045.16,66747.93,66757.79
2024-05-20 09:00:00+00:00,66757.79,66994.26,66751.6,66893.72
2024-05-20 10:00:00+00:00,66893.58,67328.15,66857.42,67110.48
2024-05-20 11:00:00+00:00,67110.23,67294.0,66907.17,66988.9
2024-05-20 12:00:00+00:00,66988.91,67079.69,66792.69,66928.31
2024-05-20 13:00:00+00:00,66928.31,67176.1,66779.18,67093.3
2024-05-20 14:00:00+00:00,67093.3,67103.45,66755.26,66996.09
2024-05-20 15:00:00+00:00,66996.09,67472.53,66893.21,67413.86
2024-05-20 16:00:00+00:00,67413.86,68236.71,67387.08,68184.78
2024-05-20 17:00:00+00:00,68184.72,68616.26,68045.42,68324.68
2024-05-20 18:00:00+00:00,68324.68,68740.76,68297.69,68723.17
2024-05-20 19:00:00+00:00,68723.17,70016.56,68594.14,69999.13
